3,95.0668826186
3,118.603467749
3,132.594245758
3,146.874815901
3,155.680956918
3,162.586674885
3,167.3105831
21,177.32167536
3,178.820970136
3,181.532782124
3,180.072713025
3,175.785547211
3,175.327299539
3,172.51814864
3,170.089018023
3,159.782838755
3,160.476003884
3,158.889725468
3,157.765612112
3,150.117542719
3,151.703204572
3,154.962215276
3,158.029893836
3,156.460071881
3,157.742065399
3,160.424812098
3,160.30852247
3,164.905875834
3,166.855858186
3,171.886919291
3,176.427402709
3,181.564649287
3,185.114388153
3,185.073281298
20,190.634279887
20,181.192200944
20,182.455323122
20,190.709190425
20,187.362956556
2,165.653171769
2,166.112587207
2,165.371926905
2,164.300753274
2,123.838095238
2,122.038095238
2,129.104761905
2,135.542857143
2,52.0
2,76.0
2,104.0
714286
21,1614.41904762
21,1693.77142857
21,1772.67619048
21,1836.51428571
